0,1,2,3,4,5,6,7,8,9,10,11,12,label
-795.7813,78.43532,69.457275,52.618687,33.210083,14.056117,-5.3899937,-22.003517,-34.325474,-44.69242,-47.931164,-46.899162,-42.871567,Normal
-787.72345,80.503426,70.16082,54.640633,35.59974,15.698721,-5.2408376,-22.993633,-36.428017,-45.50534,-49.73675,-48.55125,-43.93307,Normal
-798.5707,83.30491,70.30848,54.80979,34.657887,15.192692,-4.6332707,-22.446098,-33.808563,-39.83388,-43.584896,-43.637318,-38.632793,Normal
-793.1791,86.332466,74.04783,55.72481,33.878532,14.119557,-5.455935,-21.739887,-36.647503,-42.40156,-47.088753,-47.12508,-42.10736,Normal
-796.077,82.86495,70.71704,54.935844,32.530018,12.024121,-4.6327925,-19.369926,-32.93764,-40.415874,-43.090534,-42.198914,-38.157547,Normal
-789.89703,88.94139,70.0572,48.89565,31.039642,10.41629,-7.862353,-20.850554,-31.495237,-38.183372,-39.30318,-39.48373,-36.40814,Normal
-794.20593,82.934074,72.52613,54.72162,34.66914,12.357003,-7.131121,-24.651924,-39.004715,-45.530563,-49.604786,-46.95404,-43.24315,Normal
-780.29224,97.06484,75.46354,56.03513,33.324078,12.091411,-9.097968,-29.107134,-40.483486,-48.635662,-50.292477,-47.809185,-41.282772,Normal
-792.6324,84.558556,73.4359,53.306877,33.82992,12.1573925,-8.746942,-24.372938,-38.63505,-49.437553,-50.64199,-48.077816,-41.35581,Normal
-784.18146,94.42913,79.5304,57.991417,35.799732,11.497854,-10.821893,-29.653414,-45.057396,-54.03336,-53.179955,-49.767696,-45.40123,Normal
-794.9763,82.503876,70.33565,52.8631,33.20498,14.810976,-5.5192213,-23.085682,-35.46687,-41.36847,-45.906258,-45.60077,-39.54003,Normal
-786.62427,90.57384,73.901886,51.946777,30.276459,12.308717,-6.176266,-19.566895,-34.023018,-39.290756,-41.69753,-40.37561,-36.38873,Normal
-788.1209,89.34772,72.08325,53.56711,33.306698,13.845799,-6.247429,-22.094149,-33.8468,-39.83306,-44.4244,-43.970238,-39.80021,Normal
-800.23444,75.90667,67.069305,51.867188,34.401047,16.038164,-2.8955865,-19.762419,-32.43351,-43.326115,-44.78866,-45.483852,-42.09776,Normal
-789.3261,89.35605,70.26013,51.746544,32.485725,13.062536,-4.754719,-22.06244,-33.25613,-43.31715,-48.35134,-45.240273,-43.168285,Normal
-795.30554,82.455864,75.088,58.213066,35.0996,13.215915,-4.706431,-21.403572,-36.030846,-45.127663,-47.53753,-48.465244,-42.564186,Normal
-801.3071,76.859085,67.01341,51.05795,35.52696,14.248105,-4.3619432,-17.795525,-32.575268,-40.43692,-44.475727,-45.097504,-39.85684,Normal
-783.7296,91.71904,73.891,53.306114,31.908346,14.495358,-5.347888,-19.89822,-31.203022,-37.6467,-42.459476,-40.75756,-37.131645,Normal
-789.8428,84.04316,71.58916,54.27355,34.986458,14.889804,-4.709715,-21.568623,-36.051582,-44.061413,-48.825237,-47.50646,-43.615685,Normal
-774.99927,99.62241,77.44681,53.108643,33.740868,11.9539175,-6.79644,-23.458979,-37.48818,-44.327984,-47.073723,-47.83867,-41.57384,Fine Crackle
-791.23615,84.86657,71.84752,53.143883,32.024014,12.819467,-6.1433034,-24.620825,-35.08531,-41.799374,-46.17537,-45.889584,-39.985546,Normal
-803.5662,73.806404,65.84079,50.37647,34.65776,16.30559,-1.7760816,-16.967499,-31.925459,-40.81639,-44.924515,-44.40427,-41.272057,Normal
-793.955,83.74102,64.704506,47.00031,26.900314,8.17742,-5.2404504,-21.458866,-30.29327,-38.084835,-39.42098,-39.495785,-38.09105,Fine Crackle
-794.9729,80.98751,68.4398,51.639572,32.045124,13.72178,-5.902078,-21.017056,-33.490208,-43.76379,-45.56378,-43.655502,-38.243393,Fine Crackle
-803.5098,74.63696,66.09455,51.464806,33.703655,13.82517,-3.7197888,-18.922886,-34.763664,-41.64997,-45.200344,-42.132626,-40.242523,Fine Crackle
-800.102,76.827705,65.75589,48.474167,31.35496,13.157665,-4.6168337,-20.272007,-29.911873,-37.000328,-42.07338,-41.748486,-36.819565,Fine Crackle
-784.7101,90.33452,69.98276,50.676445,33.746548,12.826008,-5.1463294,-20.417622,-33.45452,-38.819176,-46.05942,-44.53676,-38.414497,Fine Crackle
-788.78424,81.51702,67.17565,51.12794,32.211197,12.024473,-4.011191,-19.547646,-30.229149,-40.37059,-42.57483,-40.90879,-35.859344,Fine Crackle
-798.6,81.38603,68.23575,52.26107,34.27879,15.994817,-1.2272931,-16.79289,-27.052494,-36.2056,-38.005314,-38.840523,-36.392483,Fine Crackle
-797.13696,81.41031,69.275986,51.93077,33.951626,14.651197,-3.667172,-20.37608,-32.209652,-41.134514,-44.49986,-44.356197,-39.59044,Fine Crackle
-796.82666,84.2828,71.9064,50.7798,32.3386,13.930687,-5.738273,-20.620888,-36.620834,-41.653584,-43.72968,-42.056572,-39.770653,Fine Crackle
-801.49445,76.09523,66.26495,50.13784,31.658558,16.300066,-3.052269,-16.673622,-29.120674,-39.38558,-41.570496,-41.662445,-38.571865,Fine Crackle
